object_id,source_id,raj2000,dej2000,j_m,k_m,u_psf,r_est,main_id,galsym,extragalsym,j_abs,jmk0,0ug,0uv,maxvar,colorscore
300736130,4197231849149999872,297.965509,-5.804604,6.948,5.356,14.7249,1765.1285276507501,V* EF Aql,1.0,,-4.285881669914452,1.5279023999999997,0.7075751229231879,-0.08725144488760991,32.94346211113465,-7.733256715605469
221589128,4050375097621701504,271.020596,-29.312925,8.996,7.777,14.6614,5115.75254707332,MPA J1804-2918,1.0,,-4.548547645765208,0.9138343000000004,0.6742519999999992,-0.036797000000001745,,-7.595055658123703
477516045,6649005065254270208,274.537609,-57.18706,11.416,8.879,12.3615,5946.75608525222,WRAY 16-400,1.0,,-2.455400628261112,2.488472499999999,0.5933203824976634,0.2653775445658035,,-7.856810818150249
43519522,5597659331053579008,121.6453,-28.533586,10.578,9.474,16.067,8045.0215784867005,WRAY 15-157,1.0,,-3.9496360665413928,0.9176956999999992,2.3797001188430333,0.5155895418494887,,-3.0041167593920317
106773351,3693971976811545856,187.020431,-1.807099,10.032,9.032,15.067,5469.6517162577,LAMOST J122804.90-014825.7,1.0,,-3.657798366106793,0.9888903,2.2017471119479644,-0.2076041646460281,1.3780011241848829,-3.4484419839185882
334184550,6060457617846295168,192.742099,-57.846263,8.536,7.098,14.4835,5273.4598359457505,WRAY 15-1022,1.0,,-5.07447821329173,1.2687525999999998,0.5571148480710141,0.13604670823145926,,-7.221741410867361
320189915,6085314998772436992,196.932869,-48.005447,9.525,8.435,14.3201,3217.6586502208,Hen 3-863,1.0,,-3.0126998473720987,1.0342037,1.6181354609588592,-0.46810560023938347,,-6.034948346829388
96416713,6165818491376007936,199.005754,-37.002988,6.586,5.354,12.0303,1794.65705577375,V* V1044 Cen,1.0,,-4.683907353667388,1.2078808000000003,0.9055679999999988,0.190814070357535,37.036753275075924,-7.603187063044296
333516594,6062473267530768512,202.654804,-57.97228000000001,9.774,8.433,15.3614,6028.42318488573,WRAY 15-1108,1.0,,-4.1270186571726475,1.0794883999999991,0.8737091787763174,-0.5640128995058012,,-8.593654162472346
328922415,5870900198312013184,208.732087,-58.45459200000001,11.764,8.626,15.0424,9989.47433353159,WRAY 16-141,1.0,,-3.2337131768390734,2.7987618000000016,0.9333678792777129,0.13306237315393948,,-7.4450784129664305
323561619,6089564718596906880,212.966908,-51.440053000000006,11.005,7.145,15.3159,4060.8436408088396,WRAY 16-147,1.0,,-2.038081338436113,3.660066700000001,1.253490513773304,0.9933179999999986,,-8.32634769066083
108355477,6276714894852124032,214.142941,-21.763933,8.121,7.132999999999999,12.9964,2792.9933694945007,BD-21  3873,1.0,,-4.109349523482882,0.9339796000000014,1.7671992198721402,-0.18429556836042935,8.548358672781163,-4.712744293361396
401280429,5822400362454690688,236.793815,-66.48780699999999,8.97,7.72,14.7299,4773.47937094197,WRAY 16-186,1.0,,-4.424175250294459,1.197920700000001,0.6015505428504618,-0.49885784299915714,,-8.885445768344926
